Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17
34,,-0.013388310952194,-0.0151424801471438,-0.014314753219403,-0.0148067948960791,-0.0132727474305875,-0.00556304298383724,-0.00907907002565274,-0.0152575090217516,-0.0116642289628613,0.00116252109805549,-0.0201536516966667,-0.0198139559587931,-0.0155852365833951,-0.0177834519756525,-0.0169083888655078,-0.00387942431696024,-0.0482539517570819
35,,-0.0147057339241195,-0.0144012498283529,-0.0143792403143838,-0.0161951337110188,-0.014817180494031,-0.00577900486116672,-0.011123884777927,-0.0170941177190828,-0.0123349037535739,0.00167325212439788,-0.0219573929265386,-0.0202195541799552,-0.0184655980202099,-0.018244019984967,-0.0181507772951444,-0.00519293468484033,-0.0520979522511071
36,,-0.014461373211585,-0.0165869289735053,-0.015871655941081,-0.0186597041654468,-0.016714626829119,-0.00943685915843691,-0.00992105257070684,-0.0193639776988613,-0.0142274928890098,0.00285685101084211,-0.0242571629946253,-0.021668119255534,-0.0180664468098647,-0.0206758190741478,-0.0198590613858946,-0.00463326504983052,-0.0527386190001114
37,,-0.0170324728826011,-0.0172616386226611,-0.015963780362482,-0.0195529764262222,-0.0172772417308021,-0.0122038707117224,-0.00935664668885742,-0.0181772459252011,-0.0131158264550887,0.00397559516378259,-0.0234815542657804,-0.0232422266376631,-0.0194365063696981,-0.0202889419463236,-0.01924822040799,-0.00673488163843847,-0.0556145008511969
38,,-0.0156619280166462,-0.0168910234632656,-0.0134211463318128,-0.0193700170475091,-0.0157879669910528,-0.0115289898450675,-0.00887551380596926,-0.0199761805979716,-0.0107822456764445,0.00550778824280965,-0.0237250593318131,-0.0226241722054161,-0.0189079007127545,-0.0200494465814799,-0.0216087584242994,-0.00231463370479016,-0.0541053747313204
39,,-0.0128677163907072,-0.0113032872139196,-0.0117813316308741,-0.0150650904895562,-0.0144862305518646,-0.00553604774917091,-0.00411970030972931,-0.0129311380051322,-0.00899071712591046,0.0055483224512496,-0.0204151941749981,-0.0201519544764282,-0.0150566309264514,-0.0171847135635437,-0.0168876823916806,0.000289543372397928,-0.048780722195152
40,,-0.0133351890581648,-0.0142967173474979,-0.0128776122455466,-0.0183906462555748,-0.0172441467365854,-0.00822207359845803,-0.00709902316145931,-0.0186104972076485,-0.0105341878771398,0.00582395506864065,-0.0246179112405997,-0.023319483441694,-0.0180340831982151,-0.0187230107146542,-0.0209565044987403,-0.000806952239049756,-0.0533792857491156
41,,-0.0102647435832736,-0.0136695224623671,-0.00999411785569357,-0.0176695710571177,-0.0157989986557917,-0.00754719273180286,-0.00379586086932376,-0.0161522671050668,-0.00829248035749729,0.0108177695484327,-0.0216687943297591,-0.0200457263708858,-0.0159735999231904,-0.0182255972645945,-0.0180265384521808,0.000997696788124504,-0.053891819148319
42,,-0.0115396690399757,-0.0116263876092899,-0.0121037671057777,-0.0177771942210665,-0.0145193255460813,-0.00706127850781142,-0.00365707253772142,-0.0156813417980588,-0.00711650264227499,0.0181058202259215,-0.0223542159971104,-0.0208858941147214,-0.0161785694636378,-0.0200402352212937,-0.0185442002978626,0.00402448154889144,-0.059494093942389
43,,-0.0120390148438509,-0.0140211317161526,-0.00944137132728721,-0.019466877895063,-0.013791235673315,-0.00614344052916044,-0.00152898478648572,-0.0152198349971909,-0.00888046921510837,0.0145063825164609,-0.022895338366072,-0.0224889727983622,-0.0156607516772441,-0.0200955033824115,-0.0191446880388536,0.00269954935172554,-0.0573870121901085
44,,-0.00649308910719621,-0.00828134822192635,-0.00596828064046745,-0.0139242849516986,-0.0103934829337388,-0.00352490276653915,0.00496630913250351,-0.0127616048946093,-0.0035885694966081,0.0220619589696529,-0.0210465036054533,-0.0198042988582892,-0.0118742091142402,-0.016153041222679,-0.0191550412757673,0.00693704801679935,-0.0569527825046723
45,,-0.0084585991862788,-0.0125291681257659,-0.00928475981090546,-0.0189395243917139,-0.0139567106443982,-0.00638639764115626,0.00368020392632192,-0.0155494827120966,-0.00482885849313166,0.0228240020883225,-0.024500668060658,-0.0195725284461966,-0.0128343295931785,-0.0164570161088266,-0.0187719715099626,0.00458415118390125,-0.0549524785438926
