Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean(background)
45,,-0.010044165190429,-0.0140630118364584,-0.0216577652098103,-0.0239563764868386,-0.0198591424365989,-0.0122949844304575,-0.0106985717241854,0.00362427264445004,-0.0138862151854035,-0.00948699778476722,-0.0164791853706117,-0.0265349459037406,-0.0250485073118408,-0.01160907900774,-0.0133778486714598
46,,-0.00867321349538686,-0.0126285480655888,-0.0204508080799258,-0.0210837415816282,-0.0169594926062078,-0.00879479922881238,-0.00935216577324916,0.00565045072895073,-0.0103534535947494,-0.00471690501340609,-0.0153952629472246,-0.0255349417142961,-0.0251479036181645,-0.012297720051289,-0.0115218358947222
47,,-0.0106941695055179,-0.0153057840619287,-0.0213388467587047,-0.0217097230441934,-0.011726212111669,-0.00718596070181496,-0.00718043302973106,0.0059003369359625,-0.0131726305845726,-0.0127779166001409,-0.0185248175844682,-0.0266369739212175,-0.0253380628658365,-0.0134383703394721,-0.00959528478317352
48,,-0.0102465832599187,-0.011914053369425,-0.022600411821974,-0.023172303292612,-0.016683156447331,-0.00858481489473708,-0.00919469086709129,0.00515285993332228,-0.0133198742235315,-0.0182423395820562,-0.0156079736774715,-0.0282574788122318,-0.0221397389698346,-0.0129473947806454,-0.0111320645210528
49,,-0.0142210533016345,-0.0141658771751919,-0.0219796272112286,-0.023419585538683,-0.0171601652930112,-0.0119994591880626,-0.00908883823171277,0.00578498386331859,-0.0140205969296377,-0.0235937434921897,-0.0169792923289998,-0.0274331072445239,-0.0209555415861872,-0.013270726628639,-0.0119040754544078
50,,-0.010683481978863,-0.0146969801901974,-0.0216146269724711,-0.0205003985405013,0.00371449372908199,-0.00802106311721086,-0.00957745111872337,0.00808995459856673,-0.0122221866756942,-0.0224311212146448,-0.0181129753054099,-0.0264301403540275,-0.0258393235435731,-0.0146867979103197,-0.0110114106547329
51,,-0.0158904265383596,-0.0178189652948638,-0.0222669786227754,-0.0233121655542382,-0.0116183094210601,-0.00971551693592643,-0.0118414564229027,0.00359300278078617,-0.0160206215593309,-0.0250667259685926,-0.0189117349186551,-0.0284728301449462,-0.0281992350913705,-0.0143770157124887,-0.0129527357090965
52,,-0.0158016095065033,-0.0162426974604697,-0.0229739382064644,-0.0243190090517764,-0.0177184771242112,-0.0103002448318405,-0.0101720065753823,0.00516731315519025,-0.0132974076671617,-0.0283227562878947,-0.0201857658821368,-0.0292547980538479,-0.0246205927000246,-0.0137841963779314,-0.00914801090658817
53,,-0.0135036070079991,-0.0162343975962286,-0.0249971722885424,-0.0267175747447152,-0.0198989010063965,-0.0145451566196571,-0.0114071638347609,0.00406168713267881,-0.0170702022801458,-0.0299518033608097,-0.0222290753412741,-0.0321500976568761,-0.0250138987792011,-0.0155026993936297,-0.0123717721342959
54,,-0.0149385917291202,-0.0177216626311005,-0.0224566853653331,-0.0251272852146939,-0.0183657992759748,-0.0100805162725567,-0.0109266450320187,0.00392469967761627,-0.0153229890487105,-0.027423026199059,-0.0203350475412055,-0.0280025013529475,-0.0273909269114711,-0.0152002676596121,-0.0101687165439902
