Time,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44
268,0.838075496386384,1.06436094320409,1.0838032337456,1.21112528044315,1.29932227385675,1.07220684579369,1.01039273851259,1.0976288563913,0.728731043548112,1.07848358766281,1.32019378936965,1.10589630072263,1.12351209861163,0.80754929441487,1.13321174521792,0.740958593397693,1.13581979173847,1.1078238528189,0.963615877056161,0.970207014024309,1.00668515737664,0.962908554072532,1.29885822951434,1.28039533651955,1.23741833981108,1.17584076128405,0.890863884693028,0.967982131068531,0.962126059287758,0.877981707259146,0.617196923394821,0.562160102866216,0.98090087814082,0.818240769511355,0.918299986982979,0.583263808642856,0.660349834154459,1.14183391514249,0.88905820924386,0.880611003321385,1.05014585641229,0.829052682231296,0.853483560143149,0.711577557889051
269,0.841257950780894,1.06824132091688,1.08555822092069,1.20844873827985,1.29836907253009,1.07607833483068,1.00442525318492,1.08774348574547,0.722450767994937,1.08051879678055,1.3210344168981,1.10423393131831,1.12220443736378,0.810779812787747,1.13155284353695,0.738923363253971,1.12793375259801,1.10265133853985,0.960182961254701,0.94166500292236,1.00668515737664,0.962211546606324,1.30078329253414,1.2785266121547,1.23824436656954,1.17245789938288,0.8927961376117,0.966969612286308,0.94549893379732,0.878775245843283,0.61836701923065,0.563510375397684,0.987751662481657,0.817905729455155,0.92021513495559,0.583556709943621,0.654833472216021,1.13807069449094,0.88713981821698,0.885214903482522,1.05228122970419,0.829585154668452,0.853649448516862,0.711754231652114
270,0.839495360654704,1.06408863599618,1.086378599541,1.20744389309909,1.29842927471914,1.08442399853312,1.00337471584048,1.08994283448087,0.722402083688323,1.08234379650584,1.32413732145164,1.10642421533075,1.12592777816875,0.811132570541107,1.13392963249507,0.742229320847834,1.13095965502376,1.10926875704239,0.966558376314555,0.942123412229999,1.00331386420389,0.961156354747758,1.30435246343031,1.28206142812194,1.24927086329882,1.16606248886558,0.895054844219829,0.970179296825956,0.960111599011766,0.878808775642613,0.623308806962817,0.561186854483146,0.98703471993436,0.817116764161522,0.917960846196162,0.581355225973353,0.656243858248693,1.14141808965613,0.889831754012764,0.892837176963587,1.05497909157054,0.825966314215929,0.854759624556328,0.725585263389032
271,0.840021689650719,1.06468998108032,1.09052203080054,1.2033788375951,1.29894099332609,1.09049171486024,1.00590900180541,1.09485627314507,0.725420510698376,1.08622311529364,1.32721550166611,1.11055767439013,1.12769461817539,0.813880367777807,1.13824665733737,0.744274882109036,1.13164895325974,1.11223141780316,0.969237725232768,0.945151326340983,1.00385624890991,0.963189293190866,1.31211514998582,1.29043691563666,1.257329426675,1.16245944068682,0.89385490633426,0.970857684410046,0.956385369382083,0.878987601239038,0.631412343017329,0.560888742365809,0.9855780747589,0.817851690736413,0.910250380660596,0.585493637900295,0.652496737960707,1.13836177233139,0.890863147037968,0.890770119748383,1.06147895954197,0.838745652707672,0.857286232094424,0.724979524772817
272,0.839678963792849,1.06010614308042,1.08774935875469,1.19804402318087,1.29137558490189,1.09610997071867,1.00412200529168,1.09181462063867,0.718276088702806,1.08395858683869,1.32590511169529,1.10919857507985,1.12487965274107,0.811114004343562,1.1456001513384,0.734088400272948,1.12718603925729,1.10971801297743,0.965445968058333,0.946574807875231,0.999687331169466,0.961524219799368,1.30971142264759,1.28949129607855,1.26206467309271,1.15804570666784,0.890475669494755,0.969257904734133,0.957178628350867,0.874785199723044,0.63212186921565,0.557942693206244,0.984906652373336,0.814879561205604,0.909871340957684,0.577169571901128,0.649041709454636,1.13604354524493,0.889501708244698,0.885391073131545,1.06108313424884,0.844070377079231,0.856660960531966,0.718846421283636
273,0.838650786219238,1.05833614622897,1.08729243901679,1.19477370886529,1.2885260146201,1.0974583521247,0.999562456611183,1.0897556558651,0.713991869720795,1.08296486971079,1.3274874693959,1.10863696379461,1.12509925997354,0.811773104356419,1.14916048418586,0.73323091752204,1.12086552492397,1.10940231961767,0.964800053586978,0.954126498048443,0.99743271239147,0.96266653759121,1.31522646805566,1.29277844978057,1.2657913984681,1.15348184564141,0.891543261290004,0.970310924267645,0.975611461757089,0.873723422744269,0.630491203742315,0.55532982817782,0.981367459798585,0.812534280812202,0.908375131604081,0.572303630936802,0.646805120953121,1.13453617785688,0.883096757558177,0.883922992723019,1.06558304284444,0.848428762583359,0.858906833899162,0.715817728202559
274,0.841686358103232,1.0578028779468,1.08563091269718,1.19879308958834,1.2925093927957,1.10721368729707,1.0104468899221,1.09891570937478,0.713906672184221,1.08800034015702,1.32681991224096,1.11110805344967,1.12873276145614,0.81748221010159,1.15350661256642,0.738313827322603,1.12393815943351,1.11248640090143,0.966139728046085,0.968518137627744,1.00032543082362,0.9696559735718,1.31861874126893,1.30026460461564,1.2769715745943,1.15529337819796,0.895478351708853,0.972943473101426,0.966948238808525,0.873142239555887,0.626918677094627,0.55831094935119,0.978750050498929,0.812318125937234,0.911846337304439,0.575667271681074,0.652496737960707,1.13869443272048,0.888521884870754,0.88856212681396,1.06558304284444,0.837532798823039,0.854925512930042,0.728361565380019
275,0.842751256304473,1.05822268489234,1.08328400677072,1.20121385297836,1.29374353767127,1.12228082800833,1.04293773562632,1.13830510933278,0.711715878386602,1.08541094264102,1.3230247261934,1.11092833783839,1.12701583218414,0.817918515743903,1.15372003851368,0.732982970702501,1.11866911698559,1.10969372887283,0.967180368027712,0.989532585362146,1.00027225585244,0.970004477304905,1.32115774330585,1.30109765041683,1.28840147974049,1.15360194724737,0.903586755509127,0.970726056968357,0.958671207726342,0.872449290369739,0.631648851750103,0.564562535811814,0.976883723867871,0.808394914956567,0.916883575461568,0.574769670920664,0.665624177187882,1.13909986256968,0.886861342100174,0.884040439155701,1.06408307331257,0.842561705173956,0.855065880015492,0.737132155760637
276,0.840046170069139,1.05665691844683,1.08091633176527,1.19676512931444,1.28909793541609,1.11639698187295,1.02846847900604,1.12195037777909,0.706129354202673,1.08711172772533,1.32098496821995,1.11079355112993,1.12945147603511,0.821891682018591,1.15533043429755,0.729935291045659,1.112185040359,1.10657322143218,0.965266547371846,0.996782690464544,0.997677317258894,0.969675334890306,1.32522639001256,1.2986660572674,1.29230109443743,1.1462457238824,0.899704603526406,0.970715931780535,0.978032989135483,0.869599257426711,0.624553589766889,0.55589098039869,0.977361685566069,0.806028019075668,0.912983456413177,0.571141474162798,0.654908581531371,1.14279031376112,0.888294978405209,0.88431056595087,1.06693718200516,0.849365519648726,0.853866379467103,0.734052984461543
277,0.838883350194221,1.05968633613488,1.08881896632294,1.19950561617106,1.28758284699162,1.11593730639363,1.02080063941984,1.11212350045069,0.704303692704657,1.08834431916283,1.31941497268888,1.11455634674105,1.13028997637725,0.816609598816962,1.15183800970603,0.730637807034355,1.11371551610329,1.10539544235925,0.963615877056161,0.990364960157596,0.992795854904647,0.968078026113579,1.32559059112442,1.29833959337233,1.29115810392281,1.14351341234685,0.901548625718198,0.97327760429956,0.973367373884871,0.868749835843691,0.620582732621898,0.555864676388337,0.978818330741529,0.805509247375744,0.914509589953852,0.571944590632639,0.651912554396879,1.13220755513326,0.884860439631277,0.882689805179857,1.06782258068716,0.849917713287258,0.849770212700797,0.755834335536287
