Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean(background)
99,,-0.0252466652161563,-0.0299585082705628,-0.0288528104845957,-0.0234597245157758,-0.0387475925748863,-0.0301340580868103,-0.0380193412574947,-0.0326666428791958,-0.0252355640039829,-0.0436031336918022,-0.035489005021619,-0.0291717890445805,-0.0406743832637982,-0.0517970459846828,-0.0351846943935499,-0.0390041802366563,-0.0307874892043072,-0.0303535487093412,-0.0300049001666726,-0.0375048930739233,-0.040644494199825,-0.0331290268549248,-0.0566128515571839,-0.034709270162152,-0.0386860866735909,0.0107793031910705,-0.023524839943119,0.111366581144098,-0.0274845577403127,-0.0275644550124288,-0.0298028317477773,-0.0309608318893198,-0.03309406391691,-0.0211197976462606,-0.0273292366944288,-0.00135245822230604,-0.0261360676237,-0.0274866751558005,-0.037072679209508,-0.0419207334907427,-0.0335550207692785,-0.0307545164108121,-0.040086694960466,-0.0283114111850915,-0.0331293016256816,-0.0334291547782141,-0.030500984351271,-0.0232655173756917,-0.0315882833598387,-0.0308568295234025,-0.0127088458321673,-0.0171932704264367,-0.0482285987889237,-0.0197923921672049
100,,-0.0228779973769479,-0.0253837510612924,-0.0264288710919656,-0.0193790830350586,-0.0360222590834178,-0.0274925505553785,-0.0352425682069609,-0.0256782424421755,-0.0191812784008351,-0.0370881325521376,-0.0310706037105372,-0.0251736670239609,-0.035386869941279,-0.049818295599084,-0.0325680460726806,-0.0347247282795479,-0.0276510129078209,-0.0306716668456098,-0.0270891836853872,-0.0392871184811827,-0.0388153170909929,-0.0304335049693627,-0.0483597559437903,-0.0308695069282357,-0.0363823719924232,0.012933911216708,-0.0227956156269294,0.1109787648506,-0.0245707252310476,-0.0222955965427023,-0.0248166194353571,-0.0282552818725301,-0.0303689691984662,-0.0208809463796958,-0.0259131615301763,0.000770812167890795,-0.0219532288215421,-0.0242400971624129,-0.0326335681816343,-0.0379459768318566,-0.0239919417135096,-0.0272042875817752,-0.0363293496153412,-0.0287122198451664,-0.029721289616442,-0.0305863629985331,-0.0276123054414081,-0.0223108051514801,-0.0284885975824131,-0.0299324025220845,-0.0219390418951942,-0.0250027378749922,-0.0414998370591837,-0.0145822842613988
101,,-0.0269625263050897,-0.027495748949235,-0.0303857001004974,-0.0239837429130248,-0.0398034281800249,-0.0315221932743691,-0.0379746624355717,-0.0290818503171925,-0.0241498942172417,-0.0381233044638346,-0.036545064498973,-0.0264966727172512,-0.0411764421791357,-0.0551078503598766,-0.0375345696381615,-0.0380938950821162,-0.0308730394773217,-0.0346763228447903,-0.0317933374449589,-0.0440748618950891,-0.0432501342503336,-0.0322530848808756,-0.0520997351524579,-0.0349741257006312,-0.0376261419218823,0.0044816933674765,-0.0274619348082091,0.107556761226432,-0.0270419534812016,-0.0284720678810172,-0.0293866105575568,-0.0313105636145831,-0.0330970103191764,-0.024849456687356,-0.028226605138403,0.00113454691090944,-0.0263213430324166,-0.0283894998663151,-0.038014164381762,-0.0385653925956232,-0.0359096745379279,-0.031447708037556,-0.0388168007089583,-0.0337698185648888,-0.0318167647266393,-0.0389464863247338,-0.036646827080812,-0.0292561929736804,-0.0339793384244807,-0.035279891912977,-0.0325723185979178,-0.0354827555209775,-0.0457907370741242,-0.0211205282986142
102,,-0.0231835360397937,-0.0296383555022203,-0.0282396749239443,-0.0233389947869977,-0.0398811354151432,-0.0281825501635103,-0.0356603309239203,-0.030121966470225,-0.025548490891434,-0.0406549727580609,-0.0375143029430616,-0.0275874311362508,-0.041668184815391,-0.0526942152971513,-0.0391648956186486,-0.0388839354365646,-0.0312946075058294,-0.0341908438561404,-0.0320300676391335,-0.0404953611085274,-0.0437921059283191,-0.0315511270068694,-0.0548479284835848,-0.0329523950902397,-0.0370183973554413,0.00751793473814114,-0.0276269607866524,0.105052737775611,-0.0287488756182012,-0.0297493754907499,-0.0323097763235338,-0.0350893765563426,-0.0354479937942875,-0.0273457352017851,-0.0298305982476241,-0.00419847774070951,-0.0271174468646988,-0.0270967526589267,-0.0404389281130243,-0.0401631051043644,-0.0367557247797809,-0.0336374429607391,-0.0393861925591647,-0.0388552940989842,-0.0352424762453925,-0.0420815100302567,-0.0321296542259966,-0.0291646662101077,-0.0337342511832762,-0.0342512246188177,-0.0340243986271169,-0.0390134974001356,-0.0504679868290442,-0.0185372670175325
103,,-0.0253847356605559,-0.0276387875004376,-0.0280942263889609,-0.0219081023052046,-0.0393156965949739,-0.0294890659794599,-0.0347120858565232,-0.0328523224501622,-0.0286266967294768,-0.0389896919204833,-0.0353285176570983,-0.0293417652828501,-0.043853554809428,-0.0557158855582932,-0.0377006704997543,-0.0395901068217184,-0.0326573132407364,-0.0361161562422454,-0.0304557962324241,-0.0425267986169491,-0.0438858842772904,-0.0329423611660482,-0.0552183174035888,-0.0368635088010373,-0.0422265498450673,0.0223067707112983,-0.0259175130957924,0.114393691535106,-0.0276402935655816,-0.0310687153334435,-0.0326894512629056,-0.0310010329648731,-0.0315428649681274,-0.0244960993643581,-0.0289968110632256,-0.000641554520353405,-0.0263556157584447,-0.0286225880717971,-0.0388241732996056,-0.0401631051043644,-0.0357816631658845,-0.0313375479946043,-0.0380376141751601,-0.0367476434852553,-0.0364258148814417,-0.0443036809072624,-0.0320408976554539,-0.0100213266167139,-0.0343689705983111,-0.034369012386541,-0.0346483992032434,-0.0421658634940411,-0.0500921318090323,-0.0150347311027669
104,,-0.0260376525148535,-0.0282484843720799,-0.0289853775942353,-0.0223033345410977,-0.0416819776849474,-0.028864327247461,-0.0367077661223823,-0.033339976499439,-0.0275154954245012,-0.0439669119802073,-0.0346668361460008,-0.0252773110716862,-0.0463494065954006,-0.0554085326238571,-0.0363219421298877,-0.0372045104660537,-0.0321001353240147,-0.0357578153766669,-0.0319887647787383,-0.0385092278749221,-0.0429374792320788,-0.0338585375334476,-0.0545153326962109,-0.0389260111125038,-0.0408909160867272,0.0283105027532167,-0.0289172897123293,0.100477462584178,-0.028765277762665,-0.0299006915294093,-0.0290480768654854,-0.0288261195133367,-0.0360002805302335,-0.0211001193388628,-0.0283985654339094,-0.00168332858722133,-0.0265512098373631,-0.0280800495851623,-0.0391554457956123,-0.0372115827917272,-0.0388933048381979,-0.0325685082852841,-0.0410308155412288,-0.0337621910326173,-0.038095604553154,-0.0418293123454126,-0.0338282561855401,-0.021923405678551,-0.0327805332292883,-0.0374052461147654,-0.0339428693715148,-0.0326946739761839,-0.052665704657529,-0.0173551528495965
105,,-0.0241795370286601,-0.0271992708441456,-0.0267561810099512,-0.0216128165372361,-0.0416524939108511,-0.0259656710913728,-0.0330992433130218,-0.0341803563534213,-0.0276177043919787,-0.04051624040972,-0.0357094778273048,-0.0284625253285959,-0.0451119116068197,-0.0546228997905129,-0.0371119785294859,-0.0379997981897369,-0.0319978985126005,-0.0344753651002914,-0.0298733400158862,-0.0355527187515944,-0.0408268762938071,-0.028758166726527,-0.0567412346665262,-0.0366343686306256,-0.0390040993550998,0.0176547163137088,-0.0282572672124579,0.103158139928857,-0.0274845577403127,-0.0310939346732202,-0.0304616260064959,-0.031515536203753,-0.0341623802720232,-0.0200139387494244,-0.0311302324384572,-0.00311689235402541,-0.0291899333485767,-0.0298135552321513,-0.0404809329888669,-0.0358192402860491,-0.0383700111376609,-0.0305083069772751,-0.0371722667360938,-0.0273627822608045,-0.0376395770983599,-0.0390105050434466,-0.0343228827426875,-0.0239640312533338,-0.0344562383722605,-0.035588002886854,-0.0338530542066233,-0.0357600919241267,-0.0540334136038796,-0.0140570476836935
106,,-0.0201662454031708,-0.0263477754243831,-0.0267431981560614,-0.0170497231809767,-0.0393558411687435,-0.0277334272374446,-0.0330409563287877,-0.0295833159190632,-0.0266277777986166,-0.0439480924642038,-0.0329288369164542,-0.0267246896222468,-0.0435035654894515,-0.0563193301877943,-0.0349029117037383,-0.0386013779440416,-0.0305370217218284,-0.0331460662574131,-0.0313123816414907,-0.0367949974695593,-0.0426351734217452,-0.0314430141812003,-0.0538676589683474,-0.0371995542978896,-0.0372232868506423,0.0174196369671367,-0.0286368188214871,0.105596448939956,-0.0274620682020275,-0.0296149667997309,-0.029478083045061,-0.0309889550101564,-0.0353151601587748,-0.0238745282610012,-0.0321916654659643,-0.00364940215532513,-0.0271071281944968,-0.0303687486236777,-0.0379825862481498,-0.030076214843242,-0.0365665197748064,-0.0299965145379785,-0.0361831965095042,-0.0276519928594312,-0.0362864210484525,-0.0410084300705389,-0.0319568911887856,-0.0153135649284944,-0.0329517911143158,-0.037142481549868,-0.0334941004325858,-0.0380775261818299,-0.0509117488606104,-0.0143780747579354
107,,-0.0202876901401507,-0.0281803330402051,-0.0276604164976613,-0.0189714742505674,-0.0393451803690702,-0.0283540114309099,-0.0344089306105881,-0.0341757797442777,-0.0266405435577338,-0.0454635068942342,-0.0370396812945448,-0.0302957135588523,-0.0439306594434578,-0.0562578596009069,-0.0374289218609926,-0.0386589211287008,-0.0311318925806207,-0.0353293185878731,-0.0299635192290365,-0.0379503722463944,-0.0434847162965504,-0.0315575134185123,-0.0576542713342305,-0.0385083419542474,-0.0392302482077277,0.000103841010633035,-0.0302901723341786,0.105218944758538,-0.0274026315651306,-0.0305813303400086,-0.030200886672956,-0.0319015017931663,-0.0370444527556632,-0.0269204823304992,-0.0313049354549648,-0.00311920800126301,-0.0302913592616579,-0.0311613566838972,-0.0382823799128513,-0.0302154697547759,-0.0413480173317493,-0.0309424313736705,-0.0379625794198492,-0.032052624960295,-0.038032310454617,-0.045905230881593,-0.0361428762456889,-0.0141057180150717,-0.0321961259393285,-0.0352164822041546,-0.0330128016275572,-0.0386828230587068,-0.0506350792332323,-0.0112403725064538
108,,-0.0279919989168408,-0.0328538502463932,-0.0308767156917487,-0.0242957253456116,-0.044216999244749,-0.0316405976225783,-0.0366475126407045,-0.0373657580424875,-0.0319347691261692,-0.047556414430533,-0.0420462731814954,-0.0342937509720861,-0.05044733831441,-0.0587170417145929,-0.0400606627214575,-0.0432680679629836,-0.0352908216944904,-0.0382557559982603,-0.0357986998991667,-0.0463895475952933,-0.0446884925863471,-0.036314386513497,-0.0648600267871398,-0.042322743263873,-0.0431380691747407,-0.00651693141834611,-0.0315210691117236,0.0973429849085778,-0.0308328779835933,-0.0330686939867365,-0.0336592092349853,-0.0352783921396459,-0.0400955341470876,-0.0296032399233005,-0.0347750593109261,-0.00940476523774596,-0.0340692823893706,-0.0334118746845772,-0.0434526538268452,-0.0293801468952335,-0.0436136087622098,-0.0324130853224761,-0.0405288036551627,-0.0397811312304125,-0.0409285048500428,-0.0499330902951341,-0.0388447177364908,-0.025876519359115,-0.0370152736590587,-0.0388826735143884,-0.0352316862991569,-0.0450575939091122,-0.053542734000694,-0.015998033570892
109,,-0.0261966427235561,-0.0292158766788971,-0.0296193060068195,-0.0228732395760737,-0.0423089659657302,-0.0323835675970143,-0.0350540990919478,-0.0339760434452275,-0.0292270189861448,-0.0441732369357654,-0.04105028684332,-0.0255593074888849,-0.0477598329881533,-0.0576627888720392,-0.03872207055579,-0.0378846228819567,-0.0324673238720519,-0.0350379376534522,-0.0327703179593741,-0.0426589296535518,-0.0433804071746066,-0.0319201703653767,-0.0594046773032357,-0.0415435864252195,-0.0395906820841023,-0.000474076682253712,-0.0286235483555344,0.100560566075642,-0.0275542245807153,-0.0293796807496056,-0.0305073622502479,-0.032146763618143,-0.0376691718806596,-0.0274569873648688,-0.030240842819214,-0.00747146698439007,-0.0310839621165501,-0.0323141428064159,-0.0416380034695233,-0.0269541362554248,-0.0350802447889698,-0.011092251899026,-0.0392138707486286,-0.0389720679859023,-0.0359342252785006,-0.0493045346780269,-0.0352422037721639,-0.0241226521130483,-0.0335965074011083,-0.0357239480341066,-0.0346647664314696,-0.0430092500719278,-0.0551244529228521,-0.013122949608263
110,,-0.0250876750074539,-0.0317536222767211,-0.0280136921234262,-0.0222202014976839,-0.0412290602738293,-0.030771000775752,-0.034904487966424,-0.0344357474886634,-0.0285181048824408,-0.0429842573566253,-0.0382028200462592,-0.0299555918675415,-0.0482077123340883,-0.058962924062142,-0.0373333081348735,-0.0375079684970542,-0.0327908055479352,-0.0362367464791499,-0.0293698979670611,-0.0419188569257582,-0.0430677521563516,-0.0325924770424695,-0.0599094508171628,-0.0400514866325324,-0.0402691286419858,0.00697925413327115,-0.0289502623424573,0.101911317959199,-0.0279026433298646,-0.0289678593210443,-0.0286866750515378,-0.0335618238455695,-0.0375967394916092,-0.0294527860927235,-0.0315987390531356,-0.00844751229505142,-0.0329987203559115,-0.0332126410537198,-0.039434286673546,-0.0262998034589443,-0.0341506723732262,-0.00584462013687448,-0.0393937583411356,-0.042013183263331,-0.0353007949057712,-0.0521872705314962,-0.0364461791745603,-0.025565404954402,-0.0329954659720764,-0.0353479115264466,-0.0355457324907485,-0.0449792048843606,-0.0550722879912489,-0.0164502591668606
111,,-0.0260083648448295,-0.0291239516266007,-0.0298998573650929,-0.0203400169498002,-0.044155366496638,-0.0323468691733003,-0.0365270056773489,-0.0376490174584073,-0.0314047414391857,-0.0491091722980784,-0.0418791207679564,-0.0343560220081071,-0.0499056190372672,-0.0613561167476642,-0.0400002096370335,-0.0408039389457205,-0.0375258014011822,-0.039216814195284,-0.0354906071068801,-0.0439540762220266,-0.0417179975653488,-0.0286797050977714,-0.0640344171515714,-0.0426028480606282,-0.0428907584846742,-0.00293228596618912,-0.0345835344324546,0.0949116854377156,-0.0336545541141706,-0.0356905607789394,-0.035173313996021,-0.0371316969867556,-0.043170677823688,-0.0330745243377355,-0.0372604632146591,-0.0129335444378294,-0.0342716941611012,-0.0365270363579366,-0.0423639033333749,-0.0314963463483284,-0.0429178144914766,-0.00620090273635768,-0.041255563770363,-0.0466243897372608,-0.0426540031162148,-0.0575044308730271,-0.0376034452221914,-0.0304366201537484,-0.0365585313379376,-0.0299912964059463,-0.0383641691913117,-0.0488180751271227,-0.0624013065473646,-0.0243602246791278
112,,-0.0278119788398126,-0.0321998748204657,-0.030585818621782,-0.0238507533955412,-0.0451495693536657,-0.0334084403215362,-0.0373800722684664,-0.038187668009569,-0.0328098038874763,-0.048497784356704,-0.0419259515071117,-0.031403055025488,-0.0493264554878999,-0.0596688674882144,-0.040387640104014,-0.0443980311176911,-0.0361777493269003,-0.0360123254758869,-0.0349345409977404,-0.0448527525013497,-0.0448135001241338,-0.035050424414916,-0.0656623603946721,-0.0421139889439989,-0.0438376775700628,-0.00693801515300883,-0.0337420403460266,0.095922946415755,-0.0320971958614818,-0.0346737585591085,-0.0360836575953761,-0.0383818975403122,-0.0440700671155243,-0.036666822595302,-0.0362387580852922,-0.011973886784542,-0.035977130804936,-0.0357047920247232,-0.0411226244964194,-0.03061567266819,-0.044431874240688,-0.00997788054970362,-0.043439582502349,-0.0494196079028899,-0.0404419722498199,-0.0517028021150974,-0.0398714438924614,-0.0325503905479554,-0.0363435985951495,-0.0346000720970272,-0.037389398455261,-0.0496587478373083,-0.0629651405220883,-0.0213101356057302
113,,-0.021957417643595,-0.0266986359149367,-0.0302870101252262,-0.0197326319893522,-0.0422956399661387,-0.0307056533467329,-0.0337171954697594,-0.0365671397469399,-0.0324393481894579,-0.0462360923653569,-0.0406492438280452,-0.0309882250124291,-0.0468410728147738,-0.0589470722538547,-0.0325076759142983,-0.0401603802375378,-0.0325070496918972,-0.0307051078356757,-0.0302378826532878,-0.0407483549975364,-0.0407851163320192,-0.0328638995372926,-0.0626516426637089,-0.0421750662363573,-0.0416823883109305,-0.0141562666219616,-0.0343294416457149,0.0933842122608755,-0.0324148394529776,-0.032917472402533,-0.0332292030554097,-0.036592949678189,-0.0430046971626776,-0.0343406762188477,-0.0347246929798111,-0.0104957913400913,-0.035263392072302,-0.0315087716797247,-0.0434052866264271,-0.0283184831520332,-0.0458012181830779,-0.0064212228222609,-0.0432185726596005,-0.0501652899863823,-0.0406547741867824,-0.049200391551107,-0.0367775429022455,-0.0253427536559035,-0.0302181383380471,-0.0350033917138244,-0.0362839967789296,-0.0500398374902619,-0.059493651779903,-0.0161146298962714
