Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean(background)
27,,-0.0297741854748212,-0.0242566829756623,-0.0267848431531778,-0.0244322591734814,-0.0267477249920209,-0.0296348718015595,-0.0323860931437982,-0.0247828277147828,-0.0310641154968952,-0.0422646240899068,-0.0320182694741599,-0.0254601092340704,-0.0230576919638065,-0.0193574091573689,-0.0166083312102644,-0.0272185864770151,-0.0237789879908448,-0.0293713834885696,-0.037358512815621,-0.0207907594680667,-0.0292476274834484,-0.0379972609466653,-0.0336665851570493,-0.030209866976669,-0.0232470554753948,-0.0233274388715463,-0.0201799442997496,-0.0223472271741834,-0.030784984138508,-0.0352061151838657,-0.0281453300078091,-0.0244108794085076,-0.0235112368801989,-0.0191276356811611,-0.0197997471775106
28,,-0.0333157046058117,-0.0137067093310457,-0.0288593229763981,-0.0276468056282123,-0.0298109616345285,-0.0330879448454869,-0.0339314791105496,-0.0244920162009245,-0.0355514319922926,-0.0427573603285419,-0.0317203934159192,-0.0262699324925697,-0.0188753644921792,-0.016090839390637,-0.0235552403523478,-0.0296598159216117,-0.0256590277494677,-0.0310707741422541,-0.0386865753228188,-0.0229139476862452,-0.0321231073077876,-0.0387376855317904,-0.0328210576625353,-0.0329907705015402,-0.0203052086880138,-0.0227051763827094,-0.0219785699884471,-0.0208519231893255,-0.0275881219574179,-0.0379025600137464,-0.0287971900133122,-0.0257570027033712,-0.026471882284451,-0.0158609001770737,-0.0205265893574182
29,,-0.0329804300523609,-0.0171154474014436,-0.0290663121648234,-0.0268474861135331,-0.0290533268505866,-0.0330544065883646,-0.0374442889071772,-0.0262704803037414,-0.0363621570263128,-0.0464875544808156,-0.0361974809305466,-0.028106571228631,-0.0227168955881473,-0.0184440081325481,-0.0222461808759612,-0.0256659417172405,-0.0270994495089354,-0.0335230007409649,-0.0414796281612323,-0.0265766305300486,-0.0317480762763283,-0.0391334324668022,-0.0339353287224206,-0.0267582124634891,-0.0222697496885326,-0.0250417392439666,-0.0123367300016883,-0.0227176761299931,-0.0295736212909228,-0.0387576926902748,-0.028692487477676,-0.0316662768719303,-0.0262228776498554,-0.017198908663017,-0.0208823571306135
30,,-0.0346180996430262,-0.0255839041535885,-0.0279334236995513,-0.0294057644461615,-0.0299172778737478,-0.0367424633436745,-0.0373297566348809,-0.0284064279748659,-0.0362185172175637,-0.0457142847485938,-0.0350759017602593,-0.0279545495444775,-0.0239109690835784,-0.0226366717270565,-0.0247036730018947,-0.0271723654856472,-0.0262271014036823,-0.0320545824593031,-0.0391264179682277,-0.0240720099832253,-0.0301930975874318,-0.0391623023551302,-0.0311837772397385,-0.0295664919119815,-0.0230594127643172,-0.0239145181818831,-0.0202105387467964,-0.0262605628121788,-0.0333509113967674,-0.0388352461486499,-0.0286020850855139,-0.029889601218602,-0.0285241361682744,-0.0158729246597305,-0.0191941692009983
31,,-0.0371234036864617,-0.0311808156522179,-0.0302344413207045,-0.027337355971648,-0.030925637402532,-0.0335188322819485,-0.0373297566348809,-0.026279952027348,-0.0367483380018998,-0.0409074728996478,-0.0342816283883964,-0.0294746994750604,-0.0260001413139098,-0.0210192047685861,-0.0225111212848386,-0.0281434819921055,-0.0284519618704135,-0.0318906665823837,-0.040194904621746,-0.0251642060069236,-0.0331232505374667,-0.0422040999606597,-0.0348919601584628,-0.0372078885268407,-0.0235234375519193,-0.0256288985160727,-0.0221682555601365,-0.0250549417068545,-0.0300025818951986,-0.0382852870440721,-0.0288923355223691,-0.0309227335894186,-0.0287865889375901,-0.0192723091935472,-0.0221580089957383
32,,-0.0373743369301928,-0.0352491037835679,-0.0355827148096213,-0.030107759280908,-0.0350572996173925,-0.0334181455400727,-0.0364998670552915,-0.0269093036623009,-0.0374376538575484,-0.0483981678346267,-0.0361422942817546,-0.0292155533559026,-0.026186181117715,-0.0238672005105737,-0.0252416879550099,-0.0271987661548162,-0.0242050432315057,-0.0334559442458614,-0.0433401230008612,-0.0265436233863591,-0.0343891390263348,-0.0422752874486998,-0.0391590236952165,-0.0275814514323269,-0.0237405558055286,-0.0224233111458614,-0.0206754650760234,-0.0327267288260635,-0.0340660604322242,-0.0411765427378172,-0.0332501980569873,-0.0338342947282626,-0.030670612652048,-0.0167650146993605,-0.0228203552635459
33,,-0.0402950244736146,-0.0374333069177439,-0.0349850193985208,-0.0326403422402684,-0.0325989997444529,-0.0368040700992467,-0.0402558580032365,-0.0217075514541117,-0.039751579746154,-0.0414684835547943,-0.0330681342535682,-0.0323355441615347,-0.0305233481405914,-0.0261252693879151,-0.0257075683231169,-0.026293611680636,-0.0256995029973306,-0.033485747132574,-0.0411190945777736,-0.0262800842861837,-0.0398744138949451,-0.0440318147023198,-0.0380339589423496,-0.0379122260960698,-0.0248067573267637,-0.027707184862431,-0.0193540034953719,-0.0310361576462858,-0.0288753258127411,-0.0423644277759085,-0.0330075911674499,-0.0337090017138946,-0.030300574804971,-0.0188624641952042,-0.0222867036037529
34,,-0.0416622307591085,-0.0366750409091431,-0.0332777741681927,-0.0352159580424946,-0.0349536807580048,-0.0372014192785862,-0.0368719057054343,-0.0269569582716965,-0.0338918405933301,-0.0389134318141093,-0.034555583953816,-0.0301175799069915,-0.029841672409878,-0.0269434743905681,-0.0205355096394241,-0.0272912874188408,-0.022406095987022,-0.0265761106371311,-0.0395699658663997,-0.028214924565596,-0.0400541578435818,-0.0447077222911628,-0.0386072526953186,-0.0406626483686701,-0.0276005227413192,-0.0256758360746627,-0.018693272705046,-0.0306386923672384,-0.0273188944310105,-0.0427488665931757,-0.0367281062184076,-0.0311887827780548,-0.0320298164847835,-0.0166203411869744,-0.0233011024424462
35,,-0.0423480265719388,-0.0214523920972056,-0.0375790001948112,-0.0362902594952951,-0.0360847381742543,-0.036305890237014,-0.0429245225336806,-0.0319537364612119,-0.0361769941698011,-0.0443192221042818,-0.0365670713796663,-0.0307431304022167,-0.0290051571279155,-0.0245457846807138,-0.023539150853833,-0.0254975482598386,-0.0241306255828036,-0.0324347570982086,-0.0414147237897991,-0.0290905759649994,-0.0400462955578071,-0.0455037520955817,-0.0383027025077211,-0.0327895778927175,-0.0294070529422182,-0.0300320733053678,-0.0197883353775523,-0.0399742465130652,-0.0304148499634471,-0.04350923284264,-0.0366946920217745,-0.0353057110374942,-0.0323729580624202,-0.0156920511258725,-0.0223094406418895
36,,-0.0405221443003933,-0.0205517970623176,-0.0368445310090268,-0.0362300964035837,-0.0363872394539142,-0.0404472892275456,-0.0424307889979772,-0.0295745578877837,-0.0365249229385039,-0.0440159304718579,-0.0368465361924485,-0.0304141961595675,-0.0300444740514925,-0.0265628826170929,-0.0243582851004432,-0.0226434218631941,-0.0224805136357239,-0.0323304469947145,-0.0421719692112229,-0.030813682078278,-0.0420857120086754,-0.0476427920285659,-0.041591611855362,-0.0326401135216629,-0.0287949467817906,-0.0257110192531628,-0.0134992097235796,-0.0368758561438355,-0.0296408208250261,-0.0440419314288916,-0.0335832781314759,-0.0333099279309404,-0.0301793702786715,-0.0146795896861734,-0.0220520514258601
