Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean(background)
261,,-0.0550802739445637,-0.0229966384857062,-0.0830103012011899,-0.056981224872702,-0.0889526456204392,-0.109685751590626,-0.0388954972505957,-0.0278756736567631,-0.079617866207715,-0.0374341583538384,-0.0618738119065613,-0.058364860802947,-0.0458570653587066,-0.0809862884789406,-0.0811986048046216,-0.0604750600080409,-0.0720663397701655,-0.0432176903296931,-0.0622891779131216,-0.0500317031305004,-0.0635566959409633,-0.0663908854869187,-0.0509477400449022,-0.0882403994257328,-0.0412238491635148,-0.042005208212461,-0.0240421893993522,-0.0512221307151208,-0.0696083108477585,-0.0580617894549336,-0.0576075707389432,-0.0690983634797283,-0.065603172533329,-0.0708240131138577,-0.117929535276603,-0.0716569924463082,-0.0315642801159892,-0.0655973554783695,0.0156950084709143,-0.0945836390370615,0.0492091779978448,-0.0819290451461398,0.0124832732752997,-0.0940453009667732
262,,-0.057553677903298,-0.0291150301126562,-0.0850321671678308,-0.0636870937862088,-0.0905825003455986,-0.106431008062655,-0.0412963023660187,-0.0324112896126971,-0.0820537339825219,-0.0393701803018626,-0.0637392117546673,-0.0609189642093955,-0.0491368856766855,-0.0832857389664828,-0.0816624024032909,-0.0606671651184533,-0.0739729235393757,-0.0450068971692226,-0.056728914024081,-0.0505941884694617,-0.0506659989478972,-0.0552365325936416,-0.0537321512144869,-0.0872624979217559,-0.0394431672453806,-0.0389209577158169,-0.0278961268749442,-0.055088318977793,-0.0802487155606803,-0.0586994670770118,-0.0577378476661254,-0.0710481659248893,-0.0686363947714787,-0.0747111534675164,-0.117763470132737,-0.0750391211176237,-0.0325526473076896,-0.0613747411602387,-0.00608464381466732,-0.0935031218619425,0.0515793686356648,-0.0866500240373731,0.00767182006193934,-0.0964001190500484
263,,-0.0593983666959872,-0.0263349196258847,-0.0851717649937308,-0.0606785856982856,-0.0905894710532779,-0.111042756806072,-0.0427655648025868,-0.034225456894688,-0.0818217344485074,-0.0381492884691987,-0.0629608218025746,-0.0591636479229304,-0.0455654887167024,-0.0803110165190991,-0.0819144886574584,-0.0617436557371663,-0.0757221912929992,-0.0427411840746742,-0.0572358676414512,-0.0509850955467542,-0.0597043776060673,-0.0671493142364933,-0.0544351791131329,-0.0898095970901603,-0.0411104442281888,-0.0423567975669629,-0.0258098063600889,-0.0527073831942591,-0.0764706775980297,-0.0585080823500791,-0.0553927316493013,-0.06242846080244,-0.0686929714255594,-0.0742485228263224,-0.121049578438161,-0.0741507746452932,-0.0317888763023043,-0.0607729478333721,0.0112231226662829,-0.0926754260092566,0.0517611107879208,-0.0835644662886338,0.00963405094288065,-0.0964208437473655
264,,-0.0574980882300854,-0.0271601467182352,-0.0882592320838064,-0.0619650958558872,-0.094355847682137,-0.11085668758368,-0.0423516860845348,-0.0355256035217494,-0.0809324453455669,-0.0311204720666851,-0.0635352640487417,-0.0607238860028331,-0.0516878285288181,-0.0847821702448757,-0.0851412514379433,-0.0626222362421303,-0.0737665970459709,-0.0451508563402194,-0.0593000845694014,-0.0540212214468683,-0.0649008300137291,-0.066342754953115,-0.0519849506109198,-0.0889908338224628,-0.0462596091787366,-0.0419494132137015,-0.0249973434727511,-0.0536143238782457,-0.0739520823543209,-0.0605850817057708,-0.0604869272192515,-0.0533811896831014,-0.0698799343371862,-0.0757174682342231,-0.116914216240285,-0.0737425283701961,-0.0326125396240403,-0.0624509839191538,0.00357740587444426,-0.0955377455509639,0.0521503359110987,-0.0853025270663162,0.00825204249056118,-0.0982622638832413
265,,-0.0553463775376425,-0.0261530488952271,-0.0877812312341412,-0.0626234162404786,-0.0925137736342974,-0.109079174313422,-0.0419033057857847,-0.0331167331942633,-0.0803781676443784,-0.0342947625767664,-0.0667202369307566,-0.0632872911515813,-0.0506188852125746,-0.0854027663820135,-0.088136042010167,-0.0655317579143779,-0.0774517786734054,-0.0470118329122282,-0.0591485487539115,-0.0502986206337945,-0.0638000894963574,-0.0751460329542986,-0.0516646922213553,-0.0874291789554798,-0.0415527102739888,-0.0414698996736381,-0.0236137969781833,-0.0569589202198601,-0.079901933521709,-0.0600202931605459,-0.0572818784209882,-0.0442495472320326,-0.0702692173962328,-0.0732585975509301,-0.116258828245972,-0.0716458760323454,-0.0344846064257416,-0.0620131853823408,0.0103448407526665,-0.0965111076423307,0.0442955550263456,-0.0822067497868005,0.00871271197466767,-0.0969707664088484
266,,-0.056170800657323,-0.0248752632709327,-0.0874724318963585,-0.0637782891039279,-0.0876377636126401,-0.111475147568551,-0.0399165196387415,-0.0314637988594331,-0.0810870268133461,-0.036876125174132,-0.0608627333102925,-0.062089175067039,-0.0508618443678565,-0.0856764009900309,-0.0842135094227516,-0.061301395482977,-0.0750342670214501,-0.0423274938233261,-0.0600473226316314,-0.0470384717958035,-0.0618209443723279,-0.0738058348510552,-0.052145079805702,-0.0867393827342837,-0.0409856855973587,-0.0401754557024179,-0.0226476421317808,-0.054436256913781,-0.0776935558509378,-0.0564494070639873,-0.0565132182851049,-0.0630808478516993,-0.0674180853352936,-0.0724470197401141,-0.111292696699708,-0.0724459356227685,-0.0302763073706214,-0.0597879729900436,0.000163727243140438,-0.0968597658846626,0.0540448601649181,-0.0822787308296598,0.0152132374916736,-0.0919498493924959
267,,-0.0618336789416001,-0.0289118251282359,-0.0881098979345166,-0.0651458171282256,-0.0919179072148981,-0.109319344804834,-0.0383781137904487,-0.0323809677992492,-0.0832586799706558,-0.0396143021587062,-0.0634544380040549,-0.0612161031995235,-0.0486267227619247,-0.0841617018549872,-0.0781230644130665,-0.058752729018131,-0.0709361784669063,-0.0484864001253522,-0.0603190712169514,-0.0503415151992117,-0.0498723718717698,-0.0715949486123509,-0.0516646922213553,-0.0875656887994257,-0.0365396576497751,-0.0445142041856633,-0.0261831949162399,-0.0537277636264336,-0.0803216993956604,-0.0602662428947318,-0.0568389106030599,-0.0728926627981164,-0.0704827815228981,-0.0681702564792985,-0.105375720206821,-0.0732239234927148,-0.0321732813134974,-0.0623141539102745,0.0258558843413869,-0.0945568870134087,0.0521589560922334,-0.083379181752385,0.00934393972856962,-0.0946159483255732
268,,-0.0564105227105721,-0.0247822096109043,-0.0897233646065356,-0.0657636955363835,-0.0936231488527371,-0.113168503309222,-0.0403235260907193,-0.0324414795921736,-0.0796887903243156,-0.0285217327399262,-0.0644844680486897,-0.0628971347384567,-0.0526354205457498,-0.0859866990585999,-0.0817330217907425,-0.0591193892288689,-0.075456823679943,-0.0463286913845542,-0.0626131315745415,-0.0526103949103542,-0.0449827594294476,-0.0773327861366166,-0.0545396111966865,-0.0904387551358224,-0.0379347099799149,-0.0414938349194828,-0.0274240502247466,-0.0554113191768321,-0.0784235392978267,-0.0591366658042818,-0.0523570953873937,-0.0441372635800305,-0.068598804426988,-0.0685922113829576,-0.110277229787038,-0.0745093998261796,-0.0298919023594284,-0.0638736135702943,0.0192084523384904,-0.0957485279790852,0.0548666507664232,-0.0861357890974401,0.0131316010804519,-0.0978368946006838
269,,-0.0560947518307729,-0.0244817143770559,-0.0855401664192916,-0.0625221773855659,-0.0898908512391989,-0.114333567846724,-0.0374260945636995,-0.0309899875658152,-0.0810611783471523,-0.025835685943532,-0.0608816847586585,-0.0580119113590209,-0.0526354205457498,-0.0875013981936436,-0.0824992641672714,-0.0617900957638576,-0.0762724799221785,-0.0434514665927985,-0.0582026492129012,-0.0504701988954633,-0.0506237469205844,-0.0753747546740934,-0.0513863547958274,-0.0903553406699659,-0.037515019305408,-0.0404072071030624,-0.024250725791942,-0.0529228609856646,-0.0790258373077723,-0.0596923601816312,-0.0537771401591873,-0.0397890315784322,-0.066551341188768,-0.0666527385789568,-0.112566503600209,-0.0737755553971869,-0.028958388467078,-0.0597422671677499,0.0389116912358588,-0.0939974463429553,0.0568303759187961,-0.0820626395919403,0.0124321205357847,-0.0937808045822018
270,,-0.0543991994979378,-0.0251883169662157,-0.0876814997053643,-0.0619549184048642,-0.0911782376778186,-0.109247349576035,-0.0370949635391923,-0.0303047145818905,-0.0829557563200407,-0.0359691446643309,-0.0615747304399639,-0.0594235799438598,-0.0503516814530959,-0.0807855975502779,-0.078788589742211,-0.0546153816401906,-0.0740318376888771,-0.045528311970296,-0.0577114982131614,-0.045046059698746,-0.0600324119540393,-0.0745321313851042,-0.0488177699322536,-0.0883464422839226,-0.0359838546489341,-0.0423728083057374,-0.0238993387817983,-0.0543909387446575,-0.0795551514827376,-0.0555657797077232,-0.0551583119769023,-0.0604718071513941,-0.0688562027180762,-0.0710755173078465,-0.117292631826352,-0.0720376893476714,-0.0280447426989018,-0.0622411395778055,0.0563793034440216,-0.0954573424908645,0.0551434543606365,-0.0801188552164565,0.0196663266999581,-0.091088851076234
