 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11
145,119.264,159.846,129.692,161.756,114.438,158.730,137.208,126.957,136.314,138.787,178.815
146,119.440,157.685,129.997,161.821,115.806,157.514,137.047,127.067,136.397,140.455,181.365
147,119.510,159.824,130.628,162.000,123.645,158.132,137.680,126.972,136.372,139.448,182.567
148,121.077,162.241,131.502,161.204,118.737,158.743,138.819,126.869,136.217,139.625,182.043
149,122.370,168.579,132.072,161.223,117.634,158.421,139.653,126.990,136.441,139.848,188.208
150,121.817,173.763,133.737,161.555,115.071,158.720,140.124,127.288,136.405,140.764,190.924
151,121.636,174.336,134.678,161.236,114.055,158.073,141.001,127.487,136.546,141.590,196.689
152,123.467,173.494,135.474,160.897,115.962,159.781,140.985,127.523,136.430,141.382,199.546
153,125.346,173.302,136.055,160.945,117.052,159.256,141.740,127.469,136.379,139.726,201.026
154,124.582,174.437,136.050,161.528,115.158,162.225,141.772,127.668,136.708,139.685,200.448
155,125.205,172.148,136.826,161.146,113.882,163.017,142.084,127.567,136.614,139.564,201.005
156,126.824,168.318,137.169,161.763,117.477,164.162,142.285,127.765,136.751,140.563,200.181
157,126.614,171.475,137.459,161.593,115.942,162.435,142.609,127.655,136.600,139.985,199.911
158,127.042,173.864,137.912,161.798,116.385,162.131,143.206,127.834,136.687,140.299,200.092
159,128.417,176.434,138.934,161.325,121.269,162.139,143.648,128.037,136.676,139.801,200.954
160,128.936,176.438,138.906,161.642,117.507,162.085,144.514,128.100,136.974,140.106,200.447
161,128.747,178.229,139.390,160.912,117.597,162.227,144.707,127.886,136.783,141.034,202.074
162,127.526,177.658,140.250,160.724,121.563,161.645,144.836,128.083,136.361,141.019,202.658
163,126.927,177.379,141.182,160.835,117.336,160.751,145.249,127.907,136.666,141.739,202.744
164,126.590,179.654,142.254,160.904,118.226,161.246,145.724,128.354,136.802,143.112,203.903
165,126.814,179.162,143.593,160.585,129.501,160.865,146.491,128.888,136.615,144.876,204.795
166,127.024,180.506,143.821,160.577,122.506,161.554,145.686,131.851,136.640,142.014,205.935
167,128.937,183.723,143.917,160.612,118.539,162.823,145.706,129.805,136.781,142.368,207.578
168,130.112,184.407,144.667,160.812,114.041,163.270,146.153,129.235,136.881,144.501,207.412
169,130.791,183.982,145.955,160.261,112.487,162.228,145.787,128.563,137.099,144.098,207.604
170,130.725,182.371,147.601,160.453,113.317,161.552,145.564,128.688,137.068,141.659,208.648
171,129.075,180.476,148.351,160.229,114.348,160.461,145.629,129.041,136.702,142.345,211.005
172,128.099,179.831,149.100,160.464,118.953,161.300,146.778,128.925,136.940,141.066,212.429
173,126.933,181.383,149.797,160.176,118.348,159.995,145.922,130.378,137.071,142.194,212.169
174,126.457,182.524,150.719,161.575,119.741,158.709,146.111,131.405,137.263,140.837,213.262
175,124.916,182.548,151.198,160.400,117.067,158.595,145.285,134.119,137.403,140.504,215.869
176,123.604,181.321,151.437,159.788,113.229,158.601,149.752,137.988,137.448,140.416,217.737
177,123.979,182.117,152.024,159.530,111.588,157.066,146.977,132.909,137.133,141.285,219.967
178,124.593,181.419,152.398,159.080,111.287,155.466,146.550,141.323,137.336,142.603,222.368
179,125.571,182.507,152.485,159.706,116.300,154.846,146.835,142.267,137.316,141.194,225.991
180,124.259,179.723,152.328,158.960,118.552,153.750,145.816,135.072,137.242,141.845,226.866
181,123.069,179.516,152.740,159.377,125.410,152.757,146.191,135.015,137.613,141.140,227.150
182,122.673,180.965,152.615,159.197,121.058,153.002,146.917,136.246,137.713,141.141,228.365
183,121.898,182.491,152.879,159.560,119.728,154.185,146.834,151.457,138.467,143.221,228.400
184,120.930,180.838,153.292,159.446,121.262,155.607,148.067,142.446,138.121,141.732,229.964
185,121.130,181.613,153.354,158.806,115.441,156.626,146.812,135.793,138.307,142.740,232.238
186,120.811,180.060,153.423,158.134,120.366,157.664,147.159,140.643,137.974,141.173,232.730
187,120.577,179.794,152.797,158.324,118.512,156.028,147.329,143.440,137.899,141.029,233.752
188,121.015,180.713,152.828,158.778,119.134,156.200,149.076,138.019,138.064,141.359,235.653
189,120.068,181.022,152.524,158.177,124.195,156.249,147.778,138.247,137.977,141.520,236.929
190,119.010,180.227,152.173,158.530,127.279,155.534,151.880,147.639,139.037,142.171,238.026
191,117.363,181.667,152.286,158.701,122.472,154.911,149.825,141.149,139.065,142.322,238.608
192,116.642,181.289,151.793,158.656,118.263,152.407,151.846,143.276,138.718,141.621,238.837
